"record_id","headword","headword_raw","headword_normalized","homonym_number","classification","classification_family","translation_raw","sense_count","senses_json","example_count","examples_json","variant_count","variants_json","comments_raw","source_code","source_document","page_start","page_end","transcription_status","publication_status","validation_status"
"RD-000048","Amígohua","Amígohua","amigohua","","S","S","Amigo","1","[""Amigo""]","1","[""Nijé amígohuara, mis amigos""]","0","[]","Nijé amígohuara, mis amigos","SRC-02","DICCIONARIO raramuri.pdf","5","5","Transcrito","Autorizada para difusión","Pendiente de validación lingüística"
"RD-000049","Amóo, amoque","Amóo, amoque","amoo, amoque","","S","S","Panal, miel de abeja","1","[""Panal, miel de abeja""]","1","[""Huamí ripá coráachi chucú biré amóo, allá arriba, en la escarpadura, está colgado un panal.""]","1","[""amoque""]","Huamí ripá coráachi chucú biré amóo, allá arriba, en la escarpadura, está colgado un panal.","SRC-02","DICCIONARIO raramuri.pdf","5","5","Transcrito","Autorizada para difusión","Pendiente de validación lingüística"
"RD-000050","Aná","1Aná","ana","1","Adv","Adv","De otro modo","1","[""De otro modo""]","1","[""Aná cho niráa ra'ichari, habló de otro modo.""]","0","[]","Aná cho niráa ra'ichari, habló de otro modo.","SRC-02","DICCIONARIO raramuri.pdf","5","5","Transcrito","Autorizada para difusión","Pendiente de validación lingüística"
"RD-000051","Aná","2Aná","ana","2","S","S","1. Ala 2. Aleta","2","[""Ala"",""Aleta""]","1","[""Churuguí anará, alas de pájaro Rochí anará, aletas de pez""]","0","[]","Churuguí anará, alas de pájaro Rochí anará, aletas de pez","SRC-02","DICCIONARIO raramuri.pdf","5","5","Transcrito","Autorizada para difusión","Pendiente de validación lingüística"
"RD-000052","A’nabáa","A’nabáa","a'nabaa","","Vi","Vi","Juntarse","1","[""Juntarse""]","1","[""Jena’í piréami pagótami a’nabáari echo’ná comurachi, la gente de aquí se juntó en la casa de la comunidad""]","0","[]","Jena’í piréami pagótami a’nabáari echo’ná comurachi, la gente de aquí se juntó en la casa de la comunidad","SRC-02","DICCIONARIO raramuri.pdf","5","5","Transcrito","Autorizada para difusión","Pendiente de validación lingüística"
"RD-000053","Anacha","Anacha","anacha","","Vi","Vi","Aguantar","1","[""Aguantar""]","1","[""Maparí rarajípari, échi rijoy quetasi anáchari, cuando corrieron con la bolsa, ese hombre no aguantó. Biquiyá norí chopi anáchari, solamente aguantó tres vueltas. Ne huabé ocó ramichí; nijeni quetasi omero huaminabi anacha, me duele mucho la muela; no puedo aguantarla más. [pret.: anáchari; fut.: anachama]""]","1","[""pret.: anáchari; fut.: anachama""]","Maparí rarajípari, échi rijoy quetasi anáchari, cuando corrieron con la bolsa, ese hombre no aguantó. Biquiyá norí chopi anáchari, solamente aguantó tres vueltas. Ne huabé ocó ramichí; nijeni quetasi omero huaminabi anacha, me duele mucho la muela; no puedo aguantarla más. [pret.: anáchari; fut.: anachama]","SRC-02","DICCIONARIO raramuri.pdf","5","5","Transcrito","Autorizada para difusión","Pendiente de validación lingüística"
"RD-000054","Anachapa","Anachapa","anachapa","","Vi","Vi","Aletear","1","[""Aletear""]","0","[]","0","[]","","SRC-02","DICCIONARIO raramuri.pdf","5","5","Transcrito","Autorizada para difusión","Pendiente de validación lingüística"
"RD-000055","A’nagú","A’nagú","a'nagu","","Adv","Adv","Mutuamente, unos a otros","1","[""Mutuamente, unos a otros""]","0","[]","0","[]","","SRC-02","DICCIONARIO raramuri.pdf","5","5","Transcrito","Autorizada para difusión","Pendiente de validación lingüística"
"RD-000056","Anahué","Anahué","anahue","","Vi","Vi","Aletear","1","[""Aletear""]","0","[]","0","[]","","SRC-02","DICCIONARIO raramuri.pdf","5","5","Transcrito","Autorizada para difusión","Pendiente de validación lingüística"
"RD-000057","Anahui","Anahui","anahui","","Vt","Vt","Medir, pesar","1","[""Medir, pesar""]","1","[""Gará anáhuari echi sunú, mapurigá ibiri chópirigá chapimea, midieron bien el maíz, para que cada uno reciba la misma cantidad. [pret.: anpahuari; fut.: anáhuima]""]","1","[""pret.: anpahuari; fut.: anáhuima""]","Gará anáhuari echi sunú, mapurigá ibiri chópirigá chapimea, midieron bien el maíz, para que cada uno reciba la misma cantidad. [pret.: anpahuari; fut.: anáhuima]","SRC-02","DICCIONARIO raramuri.pdf","5","6","Transcrito","Autorizada para difusión","Pendiente de validación lingüística"
