record_id,headword,headword_raw,headword_normalized,homonym_number,classification,classification_family,translation_raw,senses,examples,variants,comments_raw,source_code,source_document,page_start,page_end,status
RD-000192,Baré,Baré,bare,,S,S,Cura,"[""Cura""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,13,13,Transcrito
RD-000193,Barí,Barí,bari,,S,S,Quiote,"[""Quiote""]","[""Urí nirúami barí o'huari ju. E l quiote del maguey de l a barranca está muy grande. Me barirá, quiote de maguey. Barí sihuará, la flor de maguey.""]",[],"Urí nirúami barí o'huari ju. E l quiote del maguey de l a barranca está muy grande. Me barirá, quiote de maguey. Barí sihuará, la flor de maguey.",SRC-02,DICCIONARIO raramuri.pdf,13,14,Transcrito
RD-000194,Barosi,Barosi,barosi,,Adj,Adj,Pardo,"[""Pardo""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,14,14,Transcrito
RD-000195,Basá,Basá,basa,,Vt,Vt,Apedrear,"[""Apedrear""]","[""Tamí basari. Me apedreó. Basáqueni. Le dí una pedrada. Basagá .Pegándole con piedras""]",[],Tamí basari. Me apedreó. Basáqueni. Le dí una pedrada. Basagá .Pegándole con piedras,SRC-02,DICCIONARIO raramuri.pdf,14,14,Transcrito
RD-000196,Basachí,Basachí,basachi,,S,S,Coyote.,"[""Coyote.""]","[""Ma hui’rique chona, basachí tamí iquímire. Ya está muy oscuro, me puede morder el coyote. Basachí huichira. Piel de coyote""]",[],"Ma hui’rique chona, basachí tamí iquímire. Ya está muy oscuro, me puede morder el coyote. Basachí huichira. Piel de coyote",SRC-02,DICCIONARIO raramuri.pdf,14,14,Transcrito
RD-000197,Basaroa,Basaroa,basaroa,,Vi,Vi,Pasear,"[""Pasear""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,14,14,Transcrito
RD-000198,Basi,Basi,basi,,S,S,"Taza, vaso","[""Taza, vaso""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,14,14,Transcrito
RD-000199,Basiahui,Basiahui,basiahui,,S,S,Triguillo (la semilla con que hacen fermentar el tesgüino),"[""Triguillo (la semilla con que hacen fermentar el tesgüino)""]","[""Echi jaré rarámuri basiahui usuga napabú, echi suguí nasóhuaga nihuabia. Los tarahumaras juntan triguillo arrancandolo y lo mezclan para hacer el tesguino.""]",[],"Echi jaré rarámuri basiahui usuga napabú, echi suguí nasóhuaga nihuabia. Los tarahumaras juntan triguillo arrancandolo y lo mezclan para hacer el tesguino.",SRC-02,DICCIONARIO raramuri.pdf,14,14,Transcrito
RD-000200,Basibú,Basibú,basibu,,Vt,Vt,Apedrear,"[""Apedrear""]","[""Riteti basibubo. Vamos a apedrearle. Basibúrami pp apedreado.""]",[],Riteti basibubo. Vamos a apedrearle. Basibúrami pp apedreado.,SRC-02,DICCIONARIO raramuri.pdf,14,14,Transcrito
RD-000201,Basigó,1Basigó,basigo,1,Vi,Vi,Lavarse (la cara),"[""Lavarse (la cara)""]","[""¡Hue ochoréami jumi; gará basigó! ¡Estás muy mugroso; lávate bien la cara! Basigora vt le lava la cara.""]",[],¡Hue ochoréami jumi; gará basigó! ¡Estás muy mugroso; lávate bien la cara! Basigora vt le lava la cara.,SRC-02,DICCIONARIO raramuri.pdf,14,14,Transcrito
RD-000202,Basigó,2Basigó,basigo,2,S,S,Hierba que sirve para calmar el dolor de muelas,"[""Hierba que sirve para calmar el dolor de muelas""]","[""Basigochi s lugar donde crece basigó.""]",[],Basigochi s lugar donde crece basigó.,SRC-02,DICCIONARIO raramuri.pdf,14,14,Transcrito
RD-000203,Basoná,1Basoná,basona,1,S,S,Pato,"[""Pato""]","[""Echo'ná hui'ré ba'huichí hue 'yena basoná. Allí donde está ancho el agua están los patos""]",[],Echo'ná hui'ré ba'huichí hue 'yena basoná. Allí donde está ancho el agua están los patos,SRC-02,DICCIONARIO raramuri.pdf,14,14,Transcrito
RD-000204,Basoná,2Basoná,basona,2,Vt,Vt,Derretir,"[""Derretir""]","[""Ma quetasi te ba'huí, quiparí basunabo. Ya no tenemos agua; vamos a derretir nieve""]",[],"Ma quetasi te ba'huí, quiparí basunabo. Ya no tenemos agua; vamos a derretir nieve",SRC-02,DICCIONARIO raramuri.pdf,14,14,Transcrito
RD-000205,Basori,Basori,basori,,S,S,Pozole (frijol cocido con nixtamal),"[""Pozole (frijol cocido con nixtamal)""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,14,14,Transcrito
RD-000206,Basú,Basú,basu,,Vi,Vi,"Cocer, hervir","[""Cocer, hervir""]","[""Muní basúmani. Voy a cocer frijol.""]",[],Muní basúmani. Voy a cocer frijol.,SRC-02,DICCIONARIO raramuri.pdf,14,14,Transcrito
RD-000207,Basú,Basú,basu,,,Sin clasificar,Derretir,"[""Derretir""]","[""Ma cu basuri quiparí. Ya se derritió la nieve.""]",[],Ma cu basuri quiparí. Ya se derritió la nieve.,SRC-02,DICCIONARIO raramuri.pdf,14,14,Transcrito
RD-000208,Batagá,Batagá,bataga,,S,S,Mata de la barranca que produce las semillas que usan para hacer soguillas.,"[""Mata de la barranca que produce las semillas que usan para hacer soguillas.""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,14,14,Transcrito
RD-000209,Batárahua,Batárahua,batarahua,,Vi,Vi,Tener tesgüino (en su casa),"[""Tener tesgüino (en su casa)""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,14,14,Transcrito
RD-000210,Batari,Batari,batari,,S,S,Tesgüino,"[""Tesgüino""]","[""Batari bajíboruhua. Dicen que van a tomar tesgüino.""]",[],Batari bajíboruhua. Dicen que van a tomar tesgüino.,SRC-02,DICCIONARIO raramuri.pdf,14,14,Transcrito
RD-000211,Batú,1Batú,batu,1,S,S,Mapache (mamífero),"[""Mapache (mamífero)""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,14,14,Transcrito
RD-000212,Batú,2Batú,batu,2,Vt,Vt,Moler (en metate),"[""Moler (en metate)""]","[""Matachí batúmani. Voy a moler en el metate.""]",[],Matachí batúmani. Voy a moler en el metate.,SRC-02,DICCIONARIO raramuri.pdf,14,14,Transcrito
RD-000213,Batusí,Batusí,batusi,,S,S,Masa,"[""Masa""]","[""A nirú batusí mapu rimé nihuabo. Hay masa para que hagamos tortillas.""]",[],A nirú batusí mapu rimé nihuabo. Hay masa para que hagamos tortillas.,SRC-02,DICCIONARIO raramuri.pdf,14,14,Transcrito
RD-000214,Bayé,Bayé,baye,,Vi,Vi,Llamar,"[""Llamar""]","[""Nijeni naquiri bayéranara. Yo quería llamarle. Bayérami pp llamado; invitado.""]",[],Nijeni naquiri bayéranara. Yo quería llamarle. Bayérami pp llamado; invitado.,SRC-02,DICCIONARIO raramuri.pdf,14,14,Transcrito
RD-000215,Bayeba,Bayeba,bayeba,,Vt,Vt,"Guiar, llevar","[""Guiar, llevar""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,15,15,Transcrito
RD-000216,Bayena,Bayena,bayena,,S,S,Sanguijuela,"[""Sanguijuela""]","[""Maparí cúrohui ba'huichí 'yena, echi bayena hue uchupa echi cúrohui ronórachi. Cuando los muchachos andan en el agua, las sanguijuelas les chupan . En los pies.""]",[],"Maparí cúrohui ba'huichí 'yena, echi bayena hue uchupa echi cúrohui ronórachi. Cuando los muchachos andan en el agua, las sanguijuelas les chupan . En los pies.",SRC-02,DICCIONARIO raramuri.pdf,15,15,Transcrito
RD-000217,Bayera,Bayera,bayera,,Vt,Vt,Invitar,"[""Invitar""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,15,15,Transcrito
RD-000218,Ba'yó,Ba'yó,ba'yo,,Vi,Vi,"Parecer bonito, estar bonito","[""Parecer bonito, estar bonito""]","[""Hue ba'yó je'ná. Esto está muy bonito. Hue ba'yórarini sihuáchari. Me parecieron bonitas las flores.""]",[],Hue ba'yó je'ná. Esto está muy bonito. Hue ba'yórarini sihuáchari. Me parecieron bonitas las flores.,SRC-02,DICCIONARIO raramuri.pdf,15,15,Transcrito
RD-000219,Ba'yóami,Ba'yóami,ba'yoami,,Adj,Adj,"Bello, chulo, hermoso, lindo, bonito","[""Bello, chulo, hermoso, lindo, bonito""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,15,15,Transcrito
RD-000220,Ba'yora,Ba'yora,ba'yora,,Vt,Vt,Hacer bonito,"[""Hacer bonito""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,15,15,Transcrito
RD-000221,Ba'yórata,Ba'yórata,ba'yorata,,Vt,Vt,Adornar,"[""Adornar""]","[""[fut.: ba'yóratama]""]","[""fut.: ba'yóratama""]",[fut.: ba'yóratama],SRC-02,DICCIONARIO raramuri.pdf,15,15,Transcrito
RD-000222,Ba'yori,Ba'yori,ba'yori,,Vi,Vi,Gustar (una cosa),"[""Gustar (una cosa)""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,15,15,Transcrito
RD-000223,Bicá,Bicá,bica,,Vi,Vi,Pudrir,"[""Pudrir""]","[""Ma biquiyari bachí. Ya se pudrió la calabaza. Chabé mucuri burito; ma huaminá biquiyari. Hace días que se murió el burro; ya se pudrió. [pret.: biquiyari; fut.: bicamea; pp.: bicáami]""]","[""pret.: biquiyari; fut.: bicamea; pp.: bicáami""]",Ma biquiyari bachí. Ya se pudrió la calabaza. Chabé mucuri burito; ma huaminá biquiyari. Hace días que se murió el burro; ya se pudrió. [pret.: biquiyari; fut.: bicamea; pp.: bicáami],SRC-02,DICCIONARIO raramuri.pdf,15,15,Transcrito
RD-000224,Bicáami,Bicáami,bicaami,,,Sin clasificar,Podrido,"[""Podrido""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,15,15,Transcrito
RD-000225,Bicajuca,Bicajuca,bicajuca,,Vi,Vi,Oler mal,"[""Oler mal""]","[""Hue cha bicajuca. Huele muy mal""]",[],Hue cha bicajuca. Huele muy mal,SRC-02,DICCIONARIO raramuri.pdf,15,15,Transcrito
RD-000226,Bicamú,Bicamú,bicamu,,Vi,Vi,Salir pus,"[""Salir pus""]","[""Hue cháanari; ma bicamiru. Se infectó; ya salió pus""]",[],Hue cháanari; ma bicamiru. Se infectó; ya salió pus,SRC-02,DICCIONARIO raramuri.pdf,15,15,Transcrito
RD-000227,Bicaná,Bicaná,bicana,,Adv,Adv,En tres partes,"[""En tres partes""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,15,15,Transcrito
RD-000228,Bichabú,Bichabú,bichabu,,Vt,Vt,Capar (animal),"[""Capar (animal)""]","[""Toro bachabubo. Vamos a capar a un toro.""]",[],Toro bachabubo. Vamos a capar a un toro.,SRC-02,DICCIONARIO raramuri.pdf,15,15,Transcrito
RD-000229,Biche: ari biché,Biche: ari biché,biche: ari biche,,,Sin clasificar,"Entonces, y.","[""Entonces, y.""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,15,15,Transcrito
RD-000230,Bichí,Bichí,bichi,,Vi,Vi,"Raspar, quitar la piel","[""Raspar, quitar la piel""]","[""Buhuichí i'mérini; hui'ré bichírini ronochí. Me caí en el camino; me raspé mucho (a lo largo) la pierna.""]",[],Buhuichí i'mérini; hui'ré bichírini ronochí. Me caí en el camino; me raspé mucho (a lo largo) la pierna.,SRC-02,DICCIONARIO raramuri.pdf,15,15,Transcrito
RD-000231,Bichihuá,Bichihuá,bichihua,,S,S,Verdad,"[""Verdad""]","[""A bichihuá ju mapu ma nochama molinchi. Es verdad que ya van a trabajar en el molino.""]",[],A bichihuá ju mapu ma nochama molinchi. Es verdad que ya van a trabajar en el molino.,SRC-02,DICCIONARIO raramuri.pdf,15,15,Transcrito
RD-000232,Bichíhuaga ané,Bichíhuaga ané,bichihuaga ane,,,Sin clasificar,"Jurar, prometer","[""Jurar, prometer""]","[""[fut.: bichíhuaga animea]""]","[""fut.: bichíhuaga animea""]",[fut.: bichíhuaga animea],SRC-02,DICCIONARIO raramuri.pdf,15,15,Transcrito
RD-000233,Bichíhuaga aní,Bichíhuaga aní,bichihuaga ani,,,Sin clasificar,"Afirmar, comprometer","[""Afirmar, comprometer""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,15,15,Transcrito
RD-000234,Bichíhuami,Bichíhuami,bichihuami,,Adj,Adj,Verdadero,"[""Verdadero""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,15,15,Transcrito
RD-000235,Bichíhuari,Bichíhuari,bichihuari,,S,S,La verdad.,"[""La verdad.""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,15,15,Transcrito
RD-000236,Bichíhuari,Bichíhuari,bichihuari,,Adv,Adv,"Cierto, verdad","[""Cierto, verdad""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,15,15,Transcrito
RD-000237,Bichii,Bichii,bichii,,Vi,Vi,Creer,"[""Creer""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,15,15,Transcrito
RD-000238,Bichíirata,Bichíirata,bichiirata,,Vi,Vi,"Convencer, dar fe","[""Convencer, dar fe""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,15,15,Transcrito
RD-000239,Bichina,Bichina,bichina,,Vt,Vt,"Quitar (la cáscara), pelar, deshojar (mazorca)","[""Quitar (la cáscara), pelar, deshojar (mazorca)""]","[""[fut.: bichinama].""]","[""fut.: bichinama""]",[fut.: bichinama].,SRC-02,DICCIONARIO raramuri.pdf,15,15,Transcrito
RD-000240,Bisú,Bisú,bisu,,Vt,Vt,Despellejar,"[""Despellejar""]","[""Bichiri vi pret se le hizo una matadura en el lomo del animal.""]",[],Bichiri vi pret se le hizo una matadura en el lomo del animal.,SRC-02,DICCIONARIO raramuri.pdf,15,15,Transcrito
RD-000241,Bichíyami,Bichíyami,bichiyami,,S,S,Creyente,"[""Creyente""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,15,15,Transcrito
RD-000242,Bihuá,Bihuá,bihua,,Vi,Vi,Estar duro,"[""Estar duro""]","[""Ocuá tarari jonsa quetasi ucuri, echijiti hue bihuá huasarahua. Desde hace dos semanas no ha llovido, por eso está muy dura (la tierra) para barbechar. [pret.: bihuáari; fut.: bihuama]""]","[""pret.: bihuáari; fut.: bihuama""]","Ocuá tarari jonsa quetasi ucuri, echijiti hue bihuá huasarahua. Desde hace dos semanas no ha llovido, por eso está muy dura (la tierra) para barbechar. [pret.: bihuáari; fut.: bihuama]",SRC-02,DICCIONARIO raramuri.pdf,16,16,Transcrito
RD-000243,Bi'huá,Bi'huá,bi'hua,,Vt,Vt,Limpiar,"[""Limpiar""]","[""Sipée huabé napisóami ju. ¡Gará cu bi'huá! El espejo tiene mucho polvo. ¡Limpialo bien!""]",[],Sipée huabé napisóami ju. ¡Gará cu bi'huá! El espejo tiene mucho polvo. ¡Limpialo bien!,SRC-02,DICCIONARIO raramuri.pdf,16,16,Transcrito
RD-000244,Bihuachébana,Bihuachébana,bihuachebana,,Vt,Vt,Endurecer,"[""Endurecer""]","[""Ma bihuacheri bachí. Ya se endurecieron las calabazas. Jena'í ri'narátachi quetasi bihuárachi ju, gará bihuachébanabo, cusí chípérami jiti.Aquí, el patio no está duro. Vamos a endurecerlo con un palo ancho. Bihuaché vi endurecerse.""]",[],"Ma bihuacheri bachí. Ya se endurecieron las calabazas. Jena'í ri'narátachi quetasi bihuárachi ju, gará bihuachébanabo, cusí chípérami jiti.Aquí, el patio no está duro. Vamos a endurecerlo con un palo ancho. Bihuaché vi endurecerse.",SRC-02,DICCIONARIO raramuri.pdf,16,16,Transcrito
RD-000245,Bihuara,Bihuara,bihuara,,Vt,Vt,Hacer duro,"[""Hacer duro""]","[""Bihuará vi endurecerse.""]",[],Bihuará vi endurecerse.,SRC-02,DICCIONARIO raramuri.pdf,16,16,Transcrito
RD-000246,Bihuárami,Bihuárami,bihuarami,,Adv,Adv,Duro,"[""Duro""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,16,16,Transcrito
RD-000247,Bi'huí,Bi'huí,bi'hui,,Vi,Vi,"Limpiarse, volverse blanco","[""Limpiarse, volverse blanco""]","[""Jabón jiti huichogá, gará bi'huimea. Lavándolo con jabón, se limpiará bien. ¿Acha gará bi'huiri huichohua? ¿se limpió bien al lavarlo?""]",[],"Jabón jiti huichogá, gará bi'huimea. Lavándolo con jabón, se limpiará bien. ¿Acha gará bi'huiri huichohua? ¿se limpió bien al lavarlo?",SRC-02,DICCIONARIO raramuri.pdf,16,16,Transcrito
RD-000248,Bi’huíami,Bi’huíami,bi'huiami,,Adj,Adj,"Claro, limpio","[""Claro, limpio""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,16,16,Transcrito
RD-000249,Bi'líami,Bi'líami,bi'liami,,Pp,Pp,"Chueco, torcido","[""Chueco, torcido""]","[""Bi'lícami pp que ha sido torcido""]",[],Bi'lícami pp que ha sido torcido,SRC-02,DICCIONARIO raramuri.pdf,16,16,Transcrito
RD-000250,Bilini,Bilini,bilini,,S,S,Fierro (de lumbre),"[""Fierro (de lumbre)""]","[""Echi rijoy gará machí na'ayá bilini, sorá yuhua. Ese hombre sabe hacer lumbre con un fierro y yesca.""]",[],"Echi rijoy gará machí na'ayá bilini, sorá yuhua. Ese hombre sabe hacer lumbre con un fierro y yesca.",SRC-02,DICCIONARIO raramuri.pdf,16,16,Transcrito
RD-000251,Bimó,Bimó,bimo,,S,S,"Neblina, polvo","[""Neblina, polvo""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,16,16,Transcrito
RD-000252,Bimoré,Bimoré,bimore,,Vi,Vi,"Haber neblina, haber polvo, haber humo","[""Haber neblina, haber polvo, haber humo""]","[""Jipi rahue biyá hue bimoréari, nijeni mayé mapu quetasi ucumea. Hoy, temprano, había mucha neblina; creo que no va a llover [pret.: bimoréari; fut.: bimorema]. Bimoréami, que hay neblina""]","[""pret.: bimoréari; fut.: bimorema""]","Jipi rahue biyá hue bimoréari, nijeni mayé mapu quetasi ucumea. Hoy, temprano, había mucha neblina; creo que no va a llover [pret.: bimoréari; fut.: bimorema]. Bimoréami, que hay neblina",SRC-02,DICCIONARIO raramuri.pdf,16,16,Transcrito
RD-000253,Bimorí,Bimorí,bimori,,S,S,"Niebla, polvo","[""Niebla, polvo""]","[""Bimorítari, en la niebla""]",[],"Bimorítari, en la niebla",SRC-02,DICCIONARIO raramuri.pdf,16,16,Transcrito
RD-000254,Biné,Biné,bine,,Vi,Vi,"Aprender, estudiar","[""Aprender, estudiar""]","[""Chabé nijeni bineri oserí 'nénia. Hace tiempo aprendí a leer.""]",[],Chabé nijeni bineri oserí 'nénia. Hace tiempo aprendí a leer.,SRC-02,DICCIONARIO raramuri.pdf,16,16,Transcrito
RD-000255,Binéami,Binéami,bineami,,S,S,"El que aprende, discípulo","[""El que aprende, discípulo""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,16,16,Transcrito
RD-000256,Bi'nera,Bi'nera,bi'nera,,Vi,Vi,Apartarse solo,"[""Apartarse solo""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,16,16,Transcrito
RD-000257,Binera,Binera,binera,,Vt,Vt,"Enseñar, instruir","[""Enseñar, instruir""]","[""Nijé onorá tamí binérari. Mi padre me enseñó.""]",[],Nijé onorá tamí binérari. Mi padre me enseñó.,SRC-02,DICCIONARIO raramuri.pdf,16,16,Transcrito
RD-000258,Binera,Binera,binera,,,Sin clasificar,Amansar,"[""Amansar""]","[""[pp.: binératami]""]","[""pp.: binératami""]",[pp.: binératami],SRC-02,DICCIONARIO raramuri.pdf,16,16,Transcrito
RD-000259,Bi'nérahua,Bi'nérahua,bi'nerahua,,Vt,Vt,Apartar solo,"[""Apartar solo""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,16,16,Transcrito
RD-000260,Bi'neri,Bi'neri,bi'neri,,Adv,Adv,Solo,"[""Solo""]","[""Bi'neri cu simiri; que huesi yuhua simiri. Se fue solo; nadie iba con él. Véase a'huínari""]",[],Bi'neri cu simiri; que huesi yuhua simiri. Se fue solo; nadie iba con él. Véase a'huínari,SRC-02,DICCIONARIO raramuri.pdf,16,16,Transcrito
RD-000261,Binériami,Binériami,bineriami,,S,S,"Maestro, el que enseña","[""Maestro, el que enseña""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,16,16,Transcrito
RD-000262,Bi'néripi,Bi'néripi,bi'neripi,,Adj,Adj,Único,"[""Único""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,16,16,Transcrito
RD-000263,Biní,Biní,bini,,S,S,Hermana menor (de mujer),"[""Hermana menor (de mujer)""]","[""Queni biní, mi hermana menor (de mujer). Nijé binirá, mi hermana menor (de mujer).""]",[],"Queni biní, mi hermana menor (de mujer). Nijé binirá, mi hermana menor (de mujer).",SRC-02,DICCIONARIO raramuri.pdf,17,17,Transcrito
RD-000264,Binorí,Binorí,binori,,S,S,Anzuelo,"[""Anzuelo""]","[""Nijeni simiri echo'ná tu comichi, biré táa binorica. Fui por abajo, en el arroyo, llevando un anzuelo.""]",[],"Nijeni simiri echo'ná tu comichi, biré táa binorica. Fui por abajo, en el arroyo, llevando un anzuelo.",SRC-02,DICCIONARIO raramuri.pdf,17,17,Transcrito
RD-000265,Binoy,Binoy,binoy,,Pron,Pron,"Él, ella, él mismo","[""Él, ella, él mismo""]","[""Nijé binoy, yo mismo""]",[],"Nijé binoy, yo mismo",SRC-02,DICCIONARIO raramuri.pdf,17,17,Transcrito
RD-000266,Biquiyá,Biquiyá,biquiya,,Adj,Adj,Tres,"[""Tres""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,17,17,Transcrito
RD-000267,Biré,Biré,bire,,Adj,Adj,Uno,"[""Uno""]","[""Biré ciento, cien. Biré macori, un puñado de maíz""]",[],"Biré ciento, cien. Biré macori, un puñado de maíz",SRC-02,DICCIONARIO raramuri.pdf,17,17,Transcrito
RD-000268,Biréana,Biréana,bireana,,Adv,Adv,En una sola parte,"[""En una sola parte""]","[""Biréana ichárini, sembré en una sola parte. Ma quetasi te na'ibi; auché biréana simiri. Ya no está aquí; se fue a otra parte. Auché biréana, en otra parte, en alguna parte. Biréana burí, una yunta (de bueyes). Biréana busugachi, tuerto. Biréana huabé rocóhuachi, charco. Biréana ipó ichihuami, milpa. Biréana sobácohuachi, atascadero""]",[],"Biréana ichárini, sembré en una sola parte. Ma quetasi te na'ibi; auché biréana simiri. Ya no está aquí; se fue a otra parte. Auché biréana, en otra parte, en alguna parte. Biréana burí, una yunta (de bueyes). Biréana busugachi, tuerto. Biréana huabé rocóhuachi, charco. Biréana ipó ichihuami, milpa. Biréana sobácohuachi, atascadero",SRC-02,DICCIONARIO raramuri.pdf,17,17,Transcrito
RD-000269,Biréanomí,Biréanomí,bireanomi,,,Sin clasificar,"Una parte (desconocida), alguna parte","[""Una parte (desconocida), alguna parte""]","[""Biréanomí siméani, voy a alguna parte""]",[],"Biréanomí siméani, voy a alguna parte",SRC-02,DICCIONARIO raramuri.pdf,17,17,Transcrito
RD-000270,Birénapi,Birénapi,birenapi,,Adv,Adv,En una sola parte,"[""En una sola parte""]","[""Birénapi nochabo, vamos a trabajar en una sola parte.""]",[],"Birénapi nochabo, vamos a trabajar en una sola parte.",SRC-02,DICCIONARIO raramuri.pdf,17,17,Transcrito
RD-000271,Birepi,Birepi,birepi,,Adv,Adv,Sólo uno,"[""Sólo uno""]","[""¿Chú quipi riioy siri? Birepi nahuari, ¿Cuántos hombres vinieron? Llegó sólo uno.""]",[],"¿Chú quipi riioy siri? Birepi nahuari, ¿Cuántos hombres vinieron? Llegó sólo uno.",SRC-02,DICCIONARIO raramuri.pdf,17,17,Transcrito
RD-000272,Birétari,Birétari,biretari,,S,S,Alguien,"[""Alguien""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,17,17,Transcrito
RD-000273,Bi'rí,Bi'rí,bi'ri,,Vi,Vi,Torcerse,"[""Torcerse""]","[""Ma bi'riri tabla, ya se torció la tabla.""]",[],"Ma bi'riri tabla, ya se torció la tabla.",SRC-02,DICCIONARIO raramuri.pdf,17,17,Transcrito
RD-000274,Birichí,Birichí,birichi,,Vi,Vi,Encender lumbre con pedernal,"[""Encender lumbre con pedernal""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,17,17,Transcrito
RD-000275,Birina,Birina,birina,,S,S,Pedernal,"[""Pedernal""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,17,17,Transcrito
RD-000276,Bi'rina,Bi'rina,bi'rina,,Vt,Vt,"Torcer, exprimir","[""Torcer, exprimir""]","[""Huíi bi'rinabo. Vamos a hacer (torcer) un mecate. Bo'osari bi'rinabo. Vamos a hacer hilo (torciendo la lana). [fut.: bi'rinama]. Bi'riná, torcer, dar vueltas (a alguna cosa)""]","[""fut.: bi'rinama""]","Huíi bi'rinabo. Vamos a hacer (torcer) un mecate. Bo'osari bi'rinabo. Vamos a hacer hilo (torciendo la lana). [fut.: bi'rinama]. Bi'riná, torcer, dar vueltas (a alguna cosa)",SRC-02,DICCIONARIO raramuri.pdf,17,17,Transcrito
RD-000277,Bisiruta,Bisiruta,bisiruta,,Vi,Vi,Rasparse,"[""Rasparse""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,17,17,Transcrito
RD-000278,Bisó,Bisó,biso,,Vi,Vi,Salir pus,"[""Salir pus""]","[""Bisoná, bisonta vt hacer salir pus""]",[],"Bisoná, bisonta vt hacer salir pus",SRC-02,DICCIONARIO raramuri.pdf,17,17,Transcrito
RD-000279,Bisú,Bisú,bisu,,Vi,Vi,Despellejar,"[""Despellejar""]","[""Maparí mi mi'risá echi huasi, hue yáati bisubo. Ya matando esa vaca, inmediatamente vamos a despellejarla.""]",[],"Maparí mi mi'risá echi huasi, hue yáati bisubo. Ya matando esa vaca, inmediatamente vamos a despellejarla.",SRC-02,DICCIONARIO raramuri.pdf,17,17,Transcrito
RD-000280,Bité,1Bité,bite,1,Vi,Vi,"Sing habitar, morar, vivir","[""Sing habitar, morar, vivir""]","[""¿Cumi bité?, ¿Dónde vives? Echo'ná basigóchi ni bité. Vivo allí, en Basigochi. [pret.: bitéeri; fut.: bitérama; pl.: piré]""]","[""pret.: bitéeri; fut.: bitérama; pl.: piré""]","¿Cumi bité?, ¿Dónde vives? Echo'ná basigóchi ni bité. Vivo allí, en Basigochi. [pret.: bitéeri; fut.: bitérama; pl.: piré]",SRC-02,DICCIONARIO raramuri.pdf,17,18,Transcrito
RD-000281,Bité,2Bité,bite,2,Vi,Vi,Estar pesado,"[""Estar pesado""]","[""Ne huabé bité, quetásini omero o'huicha. Está muy pesado. No puedo levantarlo. [pret.: bitéari; fut.: bitítama]""]","[""pret.: bitéari; fut.: bitítama""]","Ne huabé bité, quetásini omero o'huicha. Está muy pesado. No puedo levantarlo. [pret.: bitéari; fut.: bitítama]",SRC-02,DICCIONARIO raramuri.pdf,18,18,Transcrito
RD-000282,Bitéami,Bitéami,biteami,,Adj sin,Adj,"Morador, que vive","[""Morador, que vive""]","[""Echi rijoy jena'í samichí bitéami ju. Ese hombre vive aquí en samachique. Huanihuí jena'í piréami napahuima. Pasado mañana se juntarán los que viven aquí. [pl.: piréami]""]","[""pl.: piréami""]",Echi rijoy jena'í samichí bitéami ju. Ese hombre vive aquí en samachique. Huanihuí jena'í piréami napahuima. Pasado mañana se juntarán los que viven aquí. [pl.: piréami],SRC-02,DICCIONARIO raramuri.pdf,18,18,Transcrito
RD-000283,Biteba,Biteba,biteba,,Vi,Vi,"Pasar la noche, pernoctar","[""Pasar la noche, pernoctar""]","[""Echo'ná cahuichí bitébari. Allí, en el campo, pasó la noche. [fut.: bitebama] Véase chi'reba""]","[""fut.: bitebama""]","Echo'ná cahuichí bitébari. Allí, en el campo, pasó la noche. [fut.: bitebama] Véase chi'reba",SRC-02,DICCIONARIO raramuri.pdf,18,18,Transcrito
