headword_raw	headword_normalized	count
Aparúami	aparuami	1
Apé	ape	1
Apera	apera	1
Apurá	apura	1
Apurí	apuri	1
Aquibi	aquibi	1
Arara	arara	1
Aré	are	1
Arí	ari	1
Arí biché	ari biche	1
Ariché	ariche	1
Arigá	ariga	1
Arihua	arihua	1
Arihuá	arihua	1
Arihué	arihue	1
Arimuri	arimuri	1
Ariósibá	ariosiba	1
Arirí	ariri	1
Aró	aro	1
Asahua	asahua	1
Asapa	asapa	1
Asayé	asaye	1
Asé	ase	1
Así	asi	1
Asibá	asiba	1
Asira	asira	1
Asisi	asisi	1
Atá	ata	1
Atachó	atacho	1
Atahuépata	atahuepata	1
Até	ate	1
Atí	ati	1
Atisi	atisi	1
Auché	auche	1
Auchecho	auchecho	1
Ayá	aya	1
Ayena	ayena	1
Ayena cho	ayena cho	1
Ba'arí	ba'ari	1
Ba'arínara	ba'arinara	1
Ba'hué	ba'hue	1
Ba'huí	ba'hui	1
Ba'huira	ba'huira	1
Ba'huirá	ba'huira	1
Ba'nésara	ba'nesara	1
Ba'nésuri	ba'nesuri	1
Ba'raguéchuri	ba'raguechuri	1
Ba'yó	ba'yo	1
Ba'yóami	ba'yoami	1
Ba'yora	ba'yora	1
Ba'yórata	ba'yorata	1
Ba'yori	ba'yori	1
Bacá	baca	1
Bacahuá	bacahua	1
Bacamú	bacamu	1
Bacánuhui	bacanuhui	1
Bacarachi	bacarachi	1
Bacarí	bacari	1
Bacháami	bachaami	1
Bachagóachi	bachagoachi	1
Bachagochi	bachagochi	1
Bachahuara	bachahuara	1
Bachari	bachari	1
Baché	bache	1
Bachéi	bachei	1
Bachima	bachima	1
Bachirúami	bachiruami	1
Bacó	baco	1
Bacochi	bacochi	1
Bacúi	bacui	1
Bacúu	bacuu	1
Bahuirá	bahuira	1
Baisá	baisa	1
Baisá macoy	baisa macoy	1
Bajácami	bajacami	1
Bají	baji	1
Bajíami	bajiami	1
Bajíbachami	bajibachami	1
Bajichahua	bajichahua	1
Bajicháhuari	bajichahuari	1
Bajichi	bajichi	1
Bajíhuachi	bajihuachi	1
Bajíhuami	bajihuami	1
Bajina	bajina	1
Bajira	bajira	1
Bajita	bajita	1
Bajuhua	bajuhua	1
Bajuré	bajure	1
Bajurí	bajuri	1
Bamiba	bamiba	1
Bamíbari	bamibari	1
Baná	bana	1
Banagá	banaga	1
Banásani	banasani	1
Bané	bane	1
Banihuá	banihua	1
Banihuí	banihui	1
Banira	banira	1
Banisú	banisu	1
Bapá	bapa	1
Baquí	baqui	1
Baquirini	baquirini	1
Bará	bara	1
Baraché	barache	1
Barami	barami	1
Barasa	barasa	1
Baré	bare	1
Barí	bari	1
Barosi	barosi	1
Basá	basa	1
Basachí	basachi	1
Basaroa	basaroa	1
Basi	basi	1
Basiahui	basiahui	1
Basibú	basibu	1
Basori	basori	1
Batagá	bataga	1
Batárahua	batarahua	1
Batari	batari	1
Batusí	batusi	1
Bayé	baye	1
Bayeba	bayeba	1
Bayena	bayena	1
Bayera	bayera	1
Bi'huá	bi'hua	1
Bi'huí	bi'hui	1
Bi’huíami	bi'huiami	1
Bi'líami	bi'liami	1
Bi'nera	bi'nera	1
Bi'nérahua	bi'nerahua	1
Bi'neri	bi'neri	1
Bi'néripi	bi'neripi	1
Bi'rí	bi'ri	1
Bi'rina	bi'rina	1
Bi'yá	bi'ya	1
Bicá	bica	1
Bicáami	bicaami	1
Bicajuca	bicajuca	1
Bicamú	bicamu	1
Bicaná	bicana	1
Bichabú	bichabu	1
Biche: ari biché	biche: ari biche	1
Bichí	bichi	1
Bichihuá	bichihua	1
Bichíhuaga ané	bichihuaga ane	1
Bichíhuaga aní	bichihuaga ani	1
Bichíhuami	bichihuami	1
Bichii	bichii	1
Bichíirata	bichiirata	1
Bichina	bichina	1
Bichíyami	bichiyami	1
Bihuá	bihua	1
Bihuachébana	bihuachebana	1
Bihuara	bihuara	1
Bihuárami	bihuarami	1
Bilini	bilini	1
Bimó	bimo	1
Bimoré	bimore	1
Bimorí	bimori	1
Biné	bine	1
Binéami	bineami	1
Binériami	bineriami	1
Biní	bini	1
Binorí	binori	1
Binoy	binoy	1
Biquiyá	biquiya	1
Biré	bire	1
Biréana	bireana	1
Biréanomí	bireanomi	1
